build,zone,frame,ms
A,Atrium,1,18.28
A,Atrium,2,15
A,Atrium,3,16.95
A,Atrium,4,16.46
A,Atrium,5,18.54
A,Atrium,6,16.13
A,Atrium,7,17.07
A,Atrium,8,15.95
A,Atrium,9,16.14
A,Atrium,10,16.07
A,Atrium,11,15.3
A,Atrium,12,15.29
A,Atrium,13,17.1
A,Atrium,14,16.72
A,Atrium,15,14.88
A,Atrium,16,17.73
A,Atrium,17,16.96
A,Atrium,18,16.19
A,Atrium,19,18.04
A,Atrium,20,16.98
A,Atrium,21,13.27
A,Atrium,22,18.45
A,Atrium,23,16.95
A,Atrium,24,17.29
A,Atrium,25,16.04
A,Atrium,26,16.1
A,Atrium,27,16.76
A,Atrium,28,16.4
A,Atrium,29,16.73
A,Atrium,30,16.89
A,Atrium,31,16.49
A,Atrium,32,18.65
A,Atrium,33,17.59
A,Atrium,34,18.4
A,Atrium,35,18.67
A,Atrium,36,17.06
A,Atrium,37,17.05
A,Atrium,38,15.78
A,Atrium,39,17.36
A,Atrium,40,16.67
A,Atrium,41,17.15
A,Atrium,42,17.7
A,Atrium,43,17.23
A,Atrium,44,16.66
A,Atrium,45,15.69
A,Atrium,46,18.4
A,Atrium,47,16.96
A,Atrium,48,16.71
A,Atrium,49,18.78
A,Atrium,50,15.88
A,Atrium,51,18.77
A,Atrium,52,15.42
A,Atrium,53,16.63
A,Atrium,54,16.99
A,Atrium,55,18.59
A,Atrium,56,17.63
A,Atrium,57,17.61
A,Atrium,58,16.79
A,Atrium,59,16.64
A,Atrium,60,18.01
A,Atrium,61,16.29
A,Atrium,62,16.56
A,Atrium,63,17.93
A,Atrium,64,14.82
A,Atrium,65,18.14
A,Atrium,66,15.67
A,Atrium,67,16.61
A,Atrium,68,17.52
A,Atrium,69,16.47
A,Atrium,70,15.12
A,Atrium,71,17.67
A,Atrium,72,14.67
A,Atrium,73,16.82
A,Atrium,74,16.3
A,Atrium,75,14.79
A,Atrium,76,17.97
A,Atrium,77,17
A,Atrium,78,18.27
A,Atrium,79,19.02
A,Atrium,80,18.09
A,Atrium,81,17.75
A,Atrium,82,17.73
A,Atrium,83,16.52
A,Atrium,84,17.73
A,Atrium,85,18.7
A,Atrium,86,17.61
A,Atrium,87,16.23
A,Atrium,88,16.37
A,Atrium,89,17.06
A,Atrium,90,15.52
A,Atrium,91,18.6
A,Atrium,92,17.92
A,Atrium,93,16.72
A,Atrium,94,18.07
A,Atrium,95,18.59
A,Atrium,96,15.76
A,Atrium,97,15.33
A,Atrium,98,17.64
A,Atrium,99,15.09
A,Atrium,100,17.04
A,Atrium,101,16.28
A,Atrium,102,16.12
A,Atrium,103,17.03
A,Atrium,104,17.17
A,Atrium,105,16.59
A,Atrium,106,15.98
A,Atrium,107,16.93
A,Atrium,108,18.98
A,Atrium,109,18.4
A,Atrium,110,16
A,Atrium,111,16.53
A,Atrium,112,19.66
A,Atrium,113,18.82
A,Atrium,114,17.31
A,Atrium,115,16.95
A,Atrium,116,16.39
A,Atrium,117,15.87
A,Atrium,118,16.92
A,Atrium,119,15.68
A,Atrium,120,16.31
A,Atrium,121,17.44
A,Atrium,122,16.08
A,Atrium,123,17.31
A,Atrium,124,17.26
A,Atrium,125,16.79
A,Atrium,126,17.03
