session_id,player_id,cohort,archetype,build,accuracy,mobility,survivability,objective_control,support,awareness,score,kills,deaths,objectives,shots_fired,time_alive_s,distance_m,session_minutes,quit_reason
S001,P01,Regular,Scout,A,55,84,48,39,52,77,1370,7,4,0,148,98,571,12.9,Frustrated
S002,P02,Veteran,Scout,B,54,91,52,66,46,91,1795,5,2,2,140,105,520,24.6,Lost interest
S003,P03,Regular,Scout,A,48,89,42,43,52,74,1690,5,2,4,190,115,533,12.5,Frustrated
S004,P04,Novice,Scout,B,35,80,35,47,28,74,1544,7,4,2,92,80,349,18.8,Lost interest
S005,P05,Veteran,Scout,A,67,97,56,55,38,95,2019,12,3,4,143,121,542,18.7,Lost interest
S006,P06,Regular,Scout,B,51,90,41,45,56,87,1614,7,5,4,149,115,566,25.3,Completed test
S007,P07,Veteran,Scout,A,57,95,45,53,47,83,1652,6,4,3,143,118,572,11.5,Frustrated
S008,P08,Novice,Scout,B,42,73,30,39,46,67,1331,7,4,2,126,99,308,27,Completed test
S009,P09,Regular,Scout,A,51,86,35,51,34,79,1632,7,3,3,138,103,560,14.4,Frustrated
S010,P10,Regular,Scout,B,47,86,40,49,51,82,1631,10,4,3,137,71,451,26.6,Completed test
S011,P11,Veteran,Scout,A,56,84,49,52,55,88,1984,9,3,4,118,143,406,10.7,Frustrated
S012,P12,Novice,Scout,B,40,83,27,35,40,67,934,5,5,1,120,77,440,26.8,Completed test
S013,P13,Veteran,Scout,A,60,92,46,52,53,88,1511,10,5,1,124,102,551,21.1,Lost interest
S014,P14,Regular,Scout,B,57,92,38,50,31,67,1227,10,5,1,109,117,536,28.1,Completed test
S015,P15,Regular,Scout,A,46,78,46,46,34,74,1425,5,5,2,136,113,525,12.7,Frustrated
S016,P16,Regular,Scout,B,40,85,36,60,46,83,1678,8,4,4,92,74,514,13.5,Lost interest
S017,P17,Regular,Scout,A,51,96,44,43,45,83,1304,6,4,1,172,137,559,29.6,Completed test
S018,P18,Regular,Scout,B,51,79,47,51,43,75,1516,8,2,2,88,122,471,29.5,Completed test
S019,P19,Regular,Scout,A,49,79,44,54,34,82,1446,6,4,2,165,93,453,12.5,Frustrated
S020,P20,Veteran,Scout,B,58,100,47,42,55,82,1471,6,4,1,188,100,653,31,Completed test
S021,P21,Novice,Scout,A,53,74,35,55,32,85,1627,6,2,3,111,124,487,32,Completed test
S022,P22,Veteran,Scout,B,74,85,50,53,50,86,1894,9,2,2,160,126,497,11.9,Lost interest
S023,P23,Novice,Scout,A,57,89,35,41,23,68,1218,7,5,3,127,121,566,32,Completed test
S024,P24,Regular,Scout,B,59,95,49,50,39,75,1548,7,2,3,143,110,483,9,Frustrated
S025,P25,Novice,Scout,A,48,83,43,47,24,70,1301,7,4,2,164,105,509,30.2,Completed test
S026,P26,Regular,Scout,B,52,93,33,51,53,85,1788,8,3,3,119,86,451,30.1,Completed test
S027,P27,Veteran,Scout,A,60,93,44,62,44,88,1978,7,3,4,144,100,405,32,Completed test
S028,P28,Veteran,Scout,B,61,98,51,61,60,82,1594,9,5,4,156,108,597,18.9,Lost interest
S029,P29,Regular,Scout,A,49,90,46,40,57,77,1438,8,3,2,187,82,578,24.9,Completed test
S030,P30,Novice,Scout,B,66,77,36,44,24,65,1347,7,3,2,116,132,574,17,Lost interest
S031,P01,Novice,Sentinel,A,61,27,74,73,50,54,1526,7,0,3,114,165,294,32,Completed test
S032,P02,Novice,Sentinel,B,49,29,65,68,39,38,932,6,4,2,104,148,318,11.7,Frustrated
S033,P03,Regular,Sentinel,A,57,41,88,85,47,68,1678,5,1,1,195,180,336,22.3,Completed test
S034,P04,Regular,Sentinel,B,60,30,85,76,47,61,584,8,4,4,134,72,253,32,Completed test
S035,P05,Novice,Sentinel,A,55,16,77,78,40,45,1327,9,2,4,67,180,244,27.4,Completed test
S036,P06,Regular,Sentinel,B,43,35,87,74,58,62,1553,0,1,1,84,180,344,27.1,Completed test
S037,P07,Novice,Sentinel,A,44,29,74,65,44,41,1391,7,1,3,69,133,250,30.7,Completed test
S038,P08,Veteran,Sentinel,B,68,44,90,100,65,75,1751,8,3,2,133,180,290,15.6,Lost interest
S039,P09,Regular,Sentinel,A,68,23,86,77,58,48,1202,5,3,2,141,180,188,10.3,Frustrated
S040,P10,Regular,Sentinel,B,61,20,80,74,60,58,1529,3,2,3,102,173,124,32,Completed test
S041,P11,Regular,Sentinel,A,56,35,87,70,46,45,1249,4,2,3,78,174,242,28.2,Completed test
S042,P12,Veteran,Sentinel,B,68,43,96,82,58,66,1733,5,1,3,146,180,231,29.6,Completed test
S043,P13,Novice,Sentinel,A,49,24,76,65,33,50,1281,6,1,1,74,157,273,9.3,Frustrated
S044,P14,Regular,Sentinel,B,63,37,74,84,53,51,1592,5,3,4,45,180,377,19.8,Lost interest
S045,P15,Veteran,Sentinel,A,70,50,92,71,60,63,597,9,4,4,165,71,315,15.9,Lost interest
S046,P16,Veteran,Sentinel,B,82,42,100,96,50,55,579,9,4,5,143,71,292,15.2,Lost interest
S047,P17,Regular,Sentinel,A,55,31,87,88,60,59,643,5,6,5,108,67,358,11.5,Frustrated
S048,P18,Regular,Sentinel,B,54,43,75,85,57,43,1213,3,2,2,101,145,280,23.1,Completed test
S049,P19,Veteran,Sentinel,A,71,34,85,98,50,69,1908,8,1,4,108,180,257,14,Frustrated
S050,P20,Regular,Sentinel,B,58,26,69,83,47,48,658,7,5,3,96,61,193,17.5,Technical fault
S051,P21,Regular,Sentinel,A,68,20,77,67,45,53,1533,4,1,4,138,154,173,24.2,Lost interest
S052,P22,Regular,Sentinel,B,62,41,89,92,54,54,541,7,6,3,106,72,253,28.2,Completed test
S053,P23,Regular,Sentinel,A,62,39,94,77,56,68,1665,12,1,4,142,180,316,10.6,Frustrated
S054,P24,Regular,Sentinel,B,58,34,78,71,44,68,1567,5,1,2,41,152,251,16.1,Technical fault
S055,P25,Veteran,Sentinel,A,62,47,86,89,57,68,1744,8,3,2,93,180,408,31.6,Completed test
S056,P26,Regular,Sentinel,B,60,37,76,74,54,60,1538,5,3,4,102,157,366,12.4,Frustrated
S057,P27,Veteran,Sentinel,A,62,49,89,96,68,67,1850,6,1,5,89,136,403,28,Completed test
S058,P28,Veteran,Sentinel,B,75,40,86,86,60,71,1897,9,1,2,112,163,293,29.2,Completed test
S059,P29,Veteran,Sentinel,A,64,42,85,68,65,78,587,11,7,4,126,60,208,28.8,Completed test
S060,P30,Novice,Sentinel,B,61,23,71,64,42,56,1539,5,1,4,110,160,320,16.2,Lost interest
