session_id,controls_responsive,objective_clear,difficulty_fair,level_navigable,death_understood,visual_style,would_play_again,match_length
S001,3,1,3,1,3,5,4,4
S002,4,4,3,4,2,5,4,4
S003,3,1,2,4,4,4,5,5
S004,2,2,1,4,2,3,5,3
S005,3,4,4,2,2,5,5,3
S006,5,5,1,3,3,5,3,5
S007,5,1,4,5,4,5,4,3
S008,5,2,2,3,5,4,2,5
S009,4,2,2,3,4,5,2,3
S010,4,3,3,3,3,5,4,4
S011,5,1,3,3,5,5,4,3
S012,5,5,2,4,2,5,2,4
S013,3,3,4,4,2,5,3,4
S014,5,4,3,3,2,3,2,4
S015,3,1,2,4,2,4,2,5
S016,5,3,5,4,2,5,3,4
S017,3,3,3,2,4,5,4,4
S018,4,3,3,3,3,4,2,5
S019,4,1,4,3,4,5,4,5
S020,5,3,4,3,2,4,4,5
S021,4,3,2,4,3,4,5,5
S022,4,3,4,3,3,5,3,4
S023,3,1,2,5,4,4,3,5
S024,5,2,3,4,3,5,4,5
S025,5,3,4,3,3,5,3,4
S026,4,2,4,5,5,4,4,4
S027,3,4,4,2,2,4,3,4
S028,4,4,4,4,3,4,3,5
S029,5,2,3,3,4,5,3,5
S030,4,2,3,3,2,3,3,4
S031,3,3,3,2,3,5,3,4
S032,5,1,3,4,2,5,4,5
S033,3,2,2,2,3,4,5,3
S034,5,4,3,3,4,4,4,4
S035,3,3,4,3,3,5,4,4
S036,3,4,3,3,2,4,3,4
S037,4,3,4,3,3,4,3,4
S038,4,2,5,2,4,4,3,1
S039,3,1,2,3,4,4,3,4
S040,3,4,3,5,3,5,3,5
S041,4,3,4,4,2,4,3,3
S042,5,3,2,5,3,4,4,5
S043,5,2,5,4,3,5,4,4
S044,3,2,4,4,2,4,5,5
S045,3,1,2,2,2,4,1,4
S046,4,3,2,4,2,5,4,4
S047,5,1,3,3,3,4,5,4
S048,5,2,3,2,3,5,3,5
S049,4,1,3,5,4,4,4,3
S050,5,3,3,4,4,5,3,3
S051,5,4,2,4,4,5,4,5
S052,4,3,3,4,4,5,4,2
S053,5,1,2,4,4,5,3,4
S054,5,3,4,4,3,5,4,5
S055,4,2,2,2,4,5,4,3
S056,4,1,3,4,2,5,2,4
S057,5,3,2,3,3,4,3,3
S058,4,5,2,5,4,4,2,4
S059,5,2,5,5,4,5,4,5
S060,4,5,2,4,2,5,2,3
S061,5,2,3,2,3,4,1,2
S062,5,4,4,1,2,3,4,4
S063,4,2,3,4,3,4,2,5
S064,5,3,2,3,5,5,4,5
S065,5,2,3,3,3,5,5,3
S066,3,4,2,5,4,4,4,3
S067,5,4,3,3,2,4,2,3
S068,5,4,3,3,3,5,3,4
S069,5,3,3,2,3,3,4,3
S070,5,2,1,3,3,5,3,5
S071,3,1,2,4,2,4,4,4
S072,4,2,2,3,2,5,5,4
S073,4,1,2,3,1,4,4,5
S074,3,1,3,1,2,4,4,5
S075,3,3,5,3,3,5,2,5
S076,3,4,4,2,2,4,5,2
S077,2,3,3,2,3,4,3,3
S078,5,2,3,5,2,5,4,4
S079,5,2,3,4,3,5,3,2
S080,5,2,5,4,3,4,4,5
S081,5,4,2,4,2,5,4,5
S082,4,4,4,2,3,5,2,4
S083,5,3,3,3,3,4,3,5
S084,5,3,3,2,2,4,4,4
S085,4,3,4,3,3,5,3,4
S086,3,4,2,2,2,5,4,5
S087,4,2,1,4,3,5,3,4
S088,4,1,3,3,3,4,3,4
S089,4,2,2,3,4,5,4,2
S090,4,3,3,2,3,5,4,4
S091,5,3,4,3,4,5,4,4
S092,3,3,2,1,3,5,3,3
S093,4,1,2,3,2,5,4,5
S094,5,3,4,2,1,4,4,3
S095,4,1,4,5,3,3,4,4
S096,5,4,2,2,3,5,2,5
S097,4,1,1,3,3,3,3,5
S098,4,3,4,4,3,4,5,5
S099,4,1,3,3,3,4,3,4
S100,5,4,2,3,3,5,4,4
S101,4,2,5,3,2,3,5,4
S102,5,4,2,1,1,4,5,3
S103,5,1,4,2,2,5,4,5
S104,3,3,5,4,2,5,3,4
S105,5,3,3,4,3,4,3,5
S106,5,4,4,3,3,4,4,5
S107,4,2,2,4,3,4,1,4
S108,3,4,1,2,4,4,3,5
S109,4,2,2,2,3,5,3,2
S110,5,3,2,3,2,4,3,4
S111,4,2,5,3,2,5,4,3
S112,3,3,3,4,2,5,4,5
S113,4,3,3,3,1,4,5,4
S114,4,4,4,3,3,5,3,2
S115,4,3,5,4,1,4,4,4
S116,5,4,4,4,3,5,4,5
S117,3,1,3,3,3,5,3,4
S118,5,2,3,4,3,5,3,4
S119,4,2,3,3,2,5,3,5
S120,4,2,2,3,3,4,2,4
